date:07/01/24 time:12:18:54 - code:200 | message: Image uploaded successfully! | file name: '123'
date:07/01/24 time:12:36:27 - code:200 | message: Image uploaded successfully! | file name: '2134'
date:07/01/24 time:14:22:43 - code:200 | message: Image uploaded successfully! | file name: '123'
date:07/01/24 time:19:55:56 - code:413 | message: The file size is limited to 1.0 MB | file name: '123123'
date:07/01/24 time:19:56:34 - code:200 | message: Image uploaded successfully! | file name: 'денис'
date:07/01/24 time:19:57:37 - code:415 | message: The file is not a valid image | file name: 'денис'
date:07/01/24 time:19:57:37 - code:415 | message: The file is not a valid image | file name: 'денис'
date:07/01/24 time:22:25:15 - code:200 | message: Image uploaded successfully! | file name: 'чанки тест'
date:07/06/24 time:12:17:51 - code:200 | message: Image uploaded successfully! | file name: 'это я'
date:07/06/24 time:12:18:41 - code:200 | message: Image uploaded successfully! | file name: 'проверка бд'
date:07/08/24 time:14:11:20 - code:200 | message: Image uploaded successfully! | file name: 'фигура коня'
